username,followers,following,public_repos,created_at,updated_at
octocat,22919,9,8,2011-01-25T18:44:36Z,2026-05-22T11:38:32Z
torvalds,306671,0,12,2011-09-03T15:26:22Z,2026-06-02T05:33:59Z
mojombo,24635,11,66,2007-10-20T05:24:19Z,2026-05-29T01:54:43Z
defunkt,22709,215,107,2007-10-20T05:24:19Z,2025-08-08T19:18:26Z
pjhyett,8401,30,8,2008-01-07T17:54:22Z,2026-04-07T17:46:52Z
wycats,10306,13,316,2008-01-12T05:38:33Z,2026-06-10T15:28:39Z
dhh,25066,0,6,2008-03-10T17:53:51Z,2026-05-22T16:17:37Z
gaearon,90823,174,296,2011-05-25T18:18:31Z,2026-06-09T20:51:49Z
yyx990803,108211,100,198,2010-11-28T01:05:40Z,2026-04-24T09:28:14Z
sindresorhus,79760,31,1134,2009-12-20T22:57:02Z,2026-05-28T18:00:42Z
