username,total_stars,avg_stars_per_repo,max_repo_stars,total_forks,avg_forks_per_repo,max_repo_forks,active_repos,total_repositories_found,active_repo_ratio
AbrahamSantiago,1,0.0625,1,0,0.0,0,0,16,0.0
Nicolas-Bueno,5,0.125,1,1,0.025,1,3,40,0.075
Ghazaleh-J,0,0.0,0,0,0.0,0,0,20,0.0
zangadoprojets,295,295.0,295,56,56.0,56,1,1,1.0
MagaliLimaDev,1,0.05555555555555555,1,0,0.0,0,0,18,0.0
dianakwamboka,0,0.0,0,0,0.0,0,0,100,0.0
andrew1andrew,0,0.0,0,0,0.0,0,0,9,0.0
IvanJahan,0,0.0,0,0,0.0,0,0,3,0.0
ErbosynNurbol,10,0.8333333333333334,4,5,0.4166666666666667,3,0,12,0.0
JonLee9257,0,0.0,0,0,0.0,0,3,5,0.6
FatimaMelo,4,0.11764705882352941,3,15,0.4411764705882353,11,0,34,0.0
VCESalesforce,0,0.0,0,0,0.0,0,0,0,0.0
feven2552,1,0.04,1,1,0.04,1,0,25,0.0
Aakash-Naykude,2,0.03773584905660377,1,2,0.03773584905660377,1,0,53,0.0
yasmin-io,9,0.391304347826087,1,0,0.0,0,0,23,0.0
zzz0105,0,0.0,0,0,0.0,0,0,4,0.0
rimwaka,7,0.4117647058823529,5,1,0.058823529411764705,1,1,17,0.058823529411764705
Develoi89,13,0.52,2,0,0.0,0,0,25,0.0
Usmchurst,0,0.0,0,1,0.02857142857142857,1,0,35,0.0
aliyasincicek,0,0.0,0,0,0.0,0,0,15,0.0
Dmitriy120588,0,0.0,0,0,0.0,0,0,4,0.0
GamingShibaBSC,0,0.0,0,0,0.0,0,0,0,0.0
Ramon-DS,1,0.047619047619047616,1,0,0.0,0,0,21,0.0
EmanMohamed2,2,0.15384615384615385,1,0,0.0,0,0,13,0.0
Devjaymmy,1,0.1,1,0,0.0,0,0,10,0.0
ArexanK,14,0.2413793103448276,2,12,0.20689655172413793,6,0,58,0.0
mahmutyazar,6,0.8571428571428571,6,1,0.14285714285714285,1,0,7,0.0
piyushxcpp,4,0.3076923076923077,2,1,0.07692307692307693,1,0,13,0.0
GustavoCavaretto,1,0.1111111111111111,1,0,0.0,0,0,9,0.0
H4CK-M4N,5,0.5,3,1,0.1,1,0,10,0.0
diorm47,219,2.5764705882352943,10,6,0.07058823529411765,3,1,85,0.011764705882352941
Gi0vana,0,0.0,0,0,0.0,0,0,6,0.0
Ranjit0979,7,0.4666666666666667,2,3,0.2,2,0,15,0.0
CarlaUyemura,0,0.0,0,0,0.0,0,0,20,0.0
Schreibmaschinespricht,0,0.0,0,0,0.0,0,0,0,0.0
aikba666,0,0.0,0,0,0.0,0,0,0,0.0
ajinjl77,0,0.0,0,0,0.0,0,0,1,0.0
HussienSaeed,1,0.05555555555555555,1,0,0.0,0,0,18,0.0
jlegrand-79,6,0.15789473684210525,2,2,0.05263157894736842,1,0,38,0.0
Nelson-Singleton,1,0.014925373134328358,1,0,0.0,0,0,67,0.0
vilo4kaaa,0,0.0,0,0,0.0,0,0,0,0.0
Drinpy,3,0.08108108108108109,3,3,0.08108108108108109,1,0,37,0.0
